Type,Length,Depth,Kg
tuna,58.59,14.31480988,10.42251096
tuna,73.28,17.90960872,19.87962478
tuna,74.28,18.33722627,20.52267984
tuna,64.32,15.76817646,13.78134798
tuna,76.61,18.84277348,23.95881946
tuna,52.56,13.34232863,7.323539423
tuna,79.97,19.14190732,25.8990731
tuna,57.55,14.25241001,10.20743302
tuna,69.74,16.84543917,16.20304333
tuna,71.12,16.84008624,17.26338311
tuna,78.43,19.34729401,24.89503487
tuna,73.16,17.08431991,19.3058227
tuna,70.29,17.45832689,19.10567915
tuna,78.79,19.07531123,26.07160589
tuna,75.28,18.95388167,22.29890945
tuna,64.51,16.0294241,13.82629919
tuna,54.79,13.56871686,8.494072324
tuna,67.44,16.85484532,16.29452818
tuna,71.61,17.77601233,19.07320149
tuna,63.27,15.30804124,12.51187728
tuna,75.04,18.11165806,20.04147858
tuna,66.09,16.36377505,15.69691633
tuna,54.77,13.14406343,8.379038567
tuna,74.1,17.83590756,21.3498342
tuna,67.7,16.31660285,15.94543449
tuna,68.14,16.8224059,16.09066409
tuna,83.08,21.10810264,31.70608273
tuna,69.73,17.11443862,17.83685293
tuna,75.02,18.57312275,22.6256079
tuna,69.65,17.18803049,17.82614381
tuna,68.22,17.28443816,16.72053799
tuna,70.05,17.62843854,17.55936549
tuna,72.82,17.49029858,20.52036234
tuna,75.75,19.32685561,20.76101913
tuna,70.47,17.25382247,18.45969223
tuna,73.76,17.82418521,20.9357452
tuna,62.5,15.12047844,12.4243016
tuna,74.5,18.60136802,21.35385489
tuna,68.79,16.62427267,16.59975437
tuna,77.29,18.95108047,23.53065702
tuna,70.04,16.99501714,17.24862611
tuna,60.87,14.45060872,10.86413457
tuna,67.31,16.53814865,16.00905054
tuna,61.63,14.93452106,12.24933829
tuna,73.67,17.92374233,19.03352009
tuna,77.39,18.59321957,23.36021826
tuna,64.65,15.38538892,14.46430812
tuna,76.69,18.1184131,22.71267235
tuna,76.3,18.2768051,21.47550774
tuna,64.68,16.60665197,13.99726979
tuna,59.16,14.16317167,10.52411382
tuna,73.12,18.40166399,20.9954183
tuna,63.94,15.57192239,13.57339239
tuna,67.06,16.47295888,16.09708787
tuna,75.51,18.39251113,22.29067801
tuna,65,15.76151518,13.90366562
tuna,73.89,18.42430151,22.19689912
tuna,68.56,15.97735269,16.1106888
tuna,74.49,18.07696934,21.90417438
tuna,78.57,19.47866858,24.67592091
tuna,75.2,18.97868883,22.05342832
tuna,75.97,18.55187496,21.97120675
tuna,71.2,17.62542247,17.80220155
tuna,67.37,16.63394436,15.11188841
tuna,64.47,15.55678404,13.49177295
tuna,62.51,15.08497947,12.35275535
tuna,56.87,13.27633543,8.712020867
tuna,77.88,18.19996073,24.23356713
tuna,65,15.83461725,14.18231802
tuna,55.93,13.92542862,8.96347296
tuna,55.67,13.67000918,9.097464997
tuna,73.57,17.91024826,21.86124224
tuna,75.11,18.22806516,21.65038434
tuna,69.83,17.38272468,17.94157805
tuna,68.32,16.34671229,16.34867115
tuna,76.54,19.06093072,22.90931642
tuna,79.9,19.86647901,25.70756279
tuna,67.39,16.47985401,15.9701491
tuna,68.97,17.00928547,16.66232906
tuna,50.1,12.39043996,6.430514625
tuna,69.08,17.04582758,17.02755926
tuna,76.16,19.11227807,25.10228754
tuna,78.39,18.55990948,23.40956399
tuna,58.68,14.24225625,10.10820903
tuna,74.01,18.1323254,20.67506011
tuna,66.68,16.00012427,14.55394056
tuna,73.62,17.86389917,19.61018317
tuna,76.55,18.41868015,22.80636717
tuna,71.41,16.81655488,18.29100932
tuna,75.29,18.7846256,21.6694279
tuna,60.51,14.9213303,11.55701819
tuna,79.94,19.965259,26.81555306
tuna,67.26,16.24684017,15.63458012
tuna,83.74,20.29386031,30.40957994
tuna,67.29,16.17255957,15.82427818
tuna,63.39,15.3923499,13.22522766
tuna,62.09,14.76001053,12.64892081
tuna,75.82,18.78031643,22.1828884
tuna,80.37,19.95514501,26.59803512
tuna,67.37,16.43740584,15.75255859
tuna,74.51,18.27004177,21.31972869
tuna,67.9,16.63168748,16.13747978
tuna,68.75,16.41835737,16.31515769
tuna,60.13,14.85195103,11.70752596
tuna,82.44,19.91800323,29.14840226
tuna,73.82,17.67335711,18.9697191
tuna,67.2,17.12687882,15.94224085
tuna,74.97,18.79931649,23.79735111
tuna,78.92,19.32423655,24.84079949
tuna,59.03,14.01292995,10.17544772
tuna,73.87,17.56661153,20.75525234
tuna,74.74,18.20886723,20.94249586
tuna,67.68,16.17231739,15.26145285
tuna,66.92,16.24195734,15.6563384
tuna,78.64,19.28649908,24.66358319
tuna,64.92,15.94176057,14.42553294
tuna,70.49,17.14027887,18.76588675
tuna,74.67,18.78422019,21.08790289
tuna,88.32,20.90633458,33.40214455
tuna,58.85,14.17411481,10.94238627
tuna,64.25,15.86856773,13.86061655
tuna,60.61,15.34853007,11.77697029
tuna,71.17,17.25735192,18.36970533
tuna,67.07,16.62581956,15.56204393
tuna,70.47,17.41299648,17.51432702
tuna,74.11,18.25424386,22.58348719
tuna,70.85,17.22658521,17.61385162
tuna,76.11,18.30552649,22.91362768
tuna,60.83,14.90699147,12.22783665
tuna,77.77,19.2119294,23.19104173
tuna,68.64,16.92947725,17.31710011
tuna,67.83,16.68617548,16.18939092
tuna,73.45,17.34587412,20.65808647
tuna,67.34,16.91502569,16.98128884
tuna,67.73,16.04628385,15.77575877
tuna,88.49,21.71922262,35.95894504
tuna,64.92,16.53108518,14.80065041
tuna,72.96,17.44867008,20.33402623
tuna,69.28,17.23318653,16.63176185
tuna,61.96,15.22704034,12.55716579
tuna,76.76,18.58577363,23.55333712
tuna,79.03,19.26048277,25.61048597
tuna,71.54,17.13840102,18.83751291
tuna,84.53,20.07110975,28.38221634
tuna,70.04,16.71358788,17.7665203
tuna,78.54,18.87080899,23.50874482
tuna,79.83,19.90559674,27.91361007
tuna,70.06,17.20974652,16.93456628
tuna,62.7,15.47371888,12.87679835
tuna,69.04,16.06702334,16.9895581
tuna,63.91,15.87615481,13.63155389
tuna,70.27,17.48685073,18.4007373
tuna,69.62,17.02574586,18.07839218
tuna,70.48,16.75058266,17.91638799
tuna,82.4,19.90058763,29.4458728
tuna,75.38,18.58031455,22.31338326
tuna,66.62,16.19906865,15.17306395
tuna,60.99,14.75077214,11.83680552
tuna,72.92,18.00313231,19.61375135
tuna,77.97,19.35714726,24.55340258
tuna,85.51,21.05326314,30.99711741
tuna,67.29,16.58537114,15.55601926
tuna,72.54,17.97522059,20.04739446
tuna,73.34,17.38571119,19.36561048
tuna,73.17,17.98506078,21.07290597
tuna,71.55,17.43982062,18.25450215
tuna,79.22,19.61781383,24.93478257
tuna,65.86,15.98361427,14.27814084
tuna,69.11,16.49867692,16.84672058
tuna,67.96,16.85472184,15.85560386
tuna,79.03,18.27997604,23.87943608
tuna,58.68,14.37135743,9.642161281
tuna,67.61,16.68477022,15.27140286
tuna,65.57,16.267049,15.17453292
tuna,73.3,17.76501997,19.6919241
tuna,73.25,17.97872296,20.20612397
tuna,73.62,17.89984115,20.99235506
tuna,73.19,17.82932404,21.13962267
tuna,59.94,14.59610422,10.51385775
tuna,70.88,17.16454784,17.43946704
tuna,60.8,14.72844851,11.3164043
tuna,69.22,16.97175987,17.48239543
tuna,80.43,19.68351961,25.19085005
tuna,82.69,20.37616901,30.33384074
tuna,64.4,15.42887381,13.82751298
tuna,72.06,17.88500047,19.82996294
tuna,84.58,20.71190834,30.80258074
tuna,59,14.73266613,11.41872715
tuna,61.49,15.14125788,11.98744066
tuna,71.05,17.26252818,18.67723243
tuna,78.51,19.02833404,25.00676003
tuna,77.91,18.81164282,24.1905631
tuna,69.34,17.47548706,16.28694908
tuna,84.2,20.24621057,30.93815054
tuna,48.91,11.81044891,6.029060846
tuna,67.55,16.45466727,16.40651628
tuna,51.94,12.62397656,6.902434777
tuna,75.18,18.33106859,21.24988604
tuna,70.82,17.00564124,18.26574765
tuna,66.45,16.41852585,15.27341586
tuna,81.4,19.88073977,28.24332818
tuna,67.96,16.83749094,15.8971875
tuna,67.67,16.24326621,16.64473022
tuna,76.87,18.91444281,22.57502947
tuna,68.86,17.08037595,17.15000082
tuna,63.95,15.37205622,13.60228464
tuna,67.12,16.30314909,14.93447278
tuna,64.32,15.8220467,13.30557449
tuna,68.24,17.19047596,17.14964256
tuna,63.58,15.78022618,13.58048754
tuna,73.15,17.22412112,19.59539975
tuna,68.09,16.53076095,15.55409155
tuna,63.94,15.73104382,13.34860329
tuna,75.19,17.80043703,20.3215979
tuna,73.76,17.76136998,20.2442921
tuna,63.91,15.52264263,13.16573667
tuna,76.21,17.91477067,21.56869997
tuna,65.96,16.24391229,15.30790284
tuna,73.9,18.15655759,20.67045551
tuna,77.29,18.48847297,23.01049621
tuna,72.05,17.64552232,19.54306308
tuna,63.19,15.72901973,12.52710833
tuna,72.58,18.11123645,20.00980015
tuna,71.8,17.95798771,19.19790962
tuna,78.73,19.14515545,22.73388885
tuna,76.56,18.92094364,23.45096949
tuna,66.91,16.48059914,16.86218182
tuna,69.96,16.52809013,17.85267507
tuna,72.63,17.7794325,19.06467196
tuna,71.48,17.92303319,20.41340131
tuna,76.88,18.82996474,21.95504273
tuna,59.93,14.63455737,11.68103133
tuna,74.8,17.9880233,21.20667249
tuna,77.46,18.68496593,23.93263337
tuna,71.18,17.36799528,19.22847732
tuna,60.61,14.49186039,11.38627088
tuna,77.92,19.31690751,24.80332333
tuna,67.22,16.28770014,15.43895083
tuna,67.92,16.84249378,16.59462605
tuna,53.78,12.93067369,8.337883351
tuna,70.42,17.73833729,19.6618733
tuna,62.55,15.12106886,12.41920918
tuna,69.07,16.10875243,16.13945771
tuna,68.43,16.813894,15.92974407
tuna,70.77,18.0066167,19.49158011
tuna,71.32,17.42244706,18.85084242
tuna,60.85,15.03045914,11.27367777
tuna,75.33,18.90232584,22.19314526
tuna,54.14,13.48428902,8.708418487
tuna,69.15,16.22670567,15.79991349
tuna,75.52,17.80061517,21.58239739
tuna,72.02,17.29957071,19.03853069
tuna,64.5,15.94585479,13.9535269
tuna,64.22,15.73949873,13.24258157
salmon,61.14,15.58394717,6.564413461
salmon,60.31,14.28025946,5.648186322
salmon,58.17,14.5775266,5.691979495
salmon,55.59,13.95519263,4.662425409
salmon,64.43,15.63219061,7.067322139
salmon,46.76,11.35225678,2.924292713
salmon,60.75,15.5589798,6.437198947
salmon,63.92,16.13846102,7.498408463
salmon,62.54,15.41493914,6.64278082
salmon,52.55,13.17037063,3.885869522
salmon,60.22,14.80272355,6.158947691
salmon,61.18,14.87233897,6.274245653
salmon,72.4,17.96690554,10.13519953
salmon,59.81,13.55325502,5.140043526
salmon,50.47,13.13300809,3.561922181
salmon,56.79,14.15844186,4.98016567
salmon,60.01,14.92877639,5.535405862
salmon,63.56,15.45793365,6.94504463
salmon,50.58,12.1547805,3.323786746
salmon,48.24,12.2310254,3.294130253
salmon,57.1,14.26141699,5.025926343
salmon,52.2,13.65962467,3.791300137
salmon,57.75,15.03205162,5.643879452
salmon,61.53,15.64346488,6.227191176
salmon,62.6,15.0465351,6.611739145
salmon,65.25,16.10170253,7.756572002
salmon,62.12,15.39783602,5.956999214
salmon,66.35,16.00698338,8.318774881
salmon,56.43,13.73066954,4.852509842
salmon,56.76,13.32727632,4.753481751
salmon,67.82,17.48182189,9.391832284
salmon,65.31,16.17763987,7.847443648
salmon,60.38,15.4181738,6.496763556
salmon,61.78,15.80167643,6.847096311
salmon,64.9,16.72328645,8.017682829
salmon,54.06,13.39616952,4.386439098
salmon,70.43,17.26479481,9.104869494
salmon,49.73,12.16759603,3.248566421
salmon,61.29,15.46920435,6.389106799
salmon,56.85,13.81541144,4.631480851
salmon,68.69,17.09358611,8.42999187
salmon,53.28,13.31162299,3.933003148
salmon,60.41,14.65549523,5.711276867
salmon,61.76,15.1629637,6.291195717
salmon,64.45,16.65188351,7.613487317
salmon,51.31,12.85310398,3.930716396
salmon,60.77,15.68729427,6.088195419
salmon,63.05,14.98332618,6.492712229
salmon,48.82,11.82781844,3.380271637
salmon,72.75,18.77866383,10.69000178
salmon,57.25,14.14319134,4.99194714
salmon,54.78,13.22153007,4.340867202
salmon,54.91,13.83862308,4.717380804
salmon,58.52,14.56079713,5.367303219
salmon,56.86,13.43043283,4.585689726
salmon,57.34,14.00993344,5.028757673
salmon,58.07,14.76779878,5.586500172
salmon,68.82,16.90048929,9.241193196
salmon,55.08,13.9984658,4.881944336
salmon,70.7,17.79728391,9.769332445
salmon,65.38,16.07800464,7.600469348
salmon,54.37,13.30986026,4.4015371
salmon,56.59,13.89578793,4.779729946
salmon,54.84,13.13128854,4.382826497
salmon,60,15.4340841,5.807346187
salmon,60.96,14.76778243,6.064405464
salmon,60.33,14.41539784,5.700824848
salmon,64.41,16.50353626,7.853921173
salmon,49.32,12.09225539,3.156413483
salmon,66.23,16.41708328,7.67849965
salmon,62.62,16.75129373,7.115273452
salmon,70.5,17.56213623,9.452990065
salmon,62.63,16.05486073,6.810487527
salmon,58.51,14.7990687,5.612656714
salmon,55.59,14.25967605,4.906512041
salmon,63.88,15.44594375,6.978018265
salmon,53.32,13.38138805,4.186645226
salmon,61.96,15.00405966,6.85346364
salmon,57.35,14.50062752,5.17359149
salmon,52.99,13.10686128,4.028163912
salmon,65.71,16.48403866,8.028397596
salmon,67.55,16.62971081,8.040774046
salmon,60.83,14.53502526,6.192548806
salmon,69.22,16.74874294,8.172622452
salmon,55.06,13.45399914,4.412223385
salmon,51.51,13.0052057,3.784281309
salmon,53.04,12.77629211,3.971753387
salmon,56.3,13.41215347,4.774100534
salmon,59.86,15.05317391,5.836511932
salmon,68.55,16.6971167,8.914870188
salmon,66.15,15.7877583,7.270850248
salmon,68.69,17.32074296,8.969223537
salmon,55.2,13.41703178,4.71034715
salmon,54.96,13.90317039,4.696029487
salmon,65.27,16.52318874,7.204356052
salmon,64.72,16.56128573,7.419341411
salmon,63.59,15.5408911,6.935432722
salmon,62.14,14.59034983,6.116202158
salmon,65.19,16.50913167,7.7829927
salmon,52.49,13.47517016,3.760392326
salmon,62.28,16.1327658,7.464017288
salmon,66.67,16.53525265,8.145403406
salmon,51.82,12.88481334,4.0174572
salmon,51.72,13.39780605,3.798480099
salmon,64.81,16.5647171,7.900276844
salmon,68.48,16.89737075,8.639138502
salmon,66.34,17.1147796,8.159218562
salmon,46.19,10.70836951,2.539402702
salmon,60.97,14.9258606,6.062097603
salmon,65.95,16.84857198,8.517360264
salmon,67.49,16.91466947,8.634055446
salmon,59.65,14.28433505,5.562533596
salmon,62.37,15.88958621,6.857083002
salmon,62.95,15.14296727,6.465312382
salmon,55.45,13.58946348,4.621614708
salmon,60.44,15.9857417,6.618526344
salmon,60.23,15.04636138,5.829268898
salmon,64.85,16.20994241,7.746237787
salmon,56.18,14.63588776,5.117812617
salmon,65.2,15.68536447,7.204635662
salmon,60.55,16.60574943,6.274400054
salmon,54.88,13.8793302,4.607714623
salmon,61.58,15.09788442,6.240589789
salmon,61.97,15.26907138,6.541017415
salmon,68.83,16.79637657,8.747734775
salmon,58.71,13.97583059,5.71536707
salmon,54.04,13.05563236,4.36747876
salmon,57.64,14.45099151,5.169786791
salmon,52.64,13.96799738,4.312707877
salmon,56.58,13.6484322,4.803127898
salmon,59.46,15.20688833,6.225614158
salmon,58.43,13.73462421,5.433510294
salmon,70.99,17.30134099,9.975127211
salmon,67.01,16.38216279,8.793249753
salmon,49.86,12.58795057,3.525601774
salmon,52.25,13.28558138,3.726705839
salmon,60.28,14.03776697,5.542889009
salmon,62.62,15.07351408,6.12117763
salmon,54.41,13.26333623,4.326941153
salmon,51.6,12.5317679,3.543308602
salmon,52.22,13.50537089,3.922564942
salmon,63.9,16.05739384,7.304462063
salmon,57.25,13.98922098,5.113477202
salmon,60.1,14.51696238,5.72773822
salmon,61.36,15.33080062,6.465034244
salmon,61.02,15.09109139,5.949994891
salmon,62.08,15.50621673,6.22517551
salmon,67.5,16.2256307,7.731622674
salmon,60.6,14.94018385,5.857986156
salmon,48.56,11.79462953,2.961414163
salmon,64.88,16.77565752,7.794570232
salmon,69.84,16.52226807,9.030631313
salmon,60.4,14.78951174,6.021923622
salmon,59.85,15.55098718,6.163780279
salmon,59.19,15.21888583,5.489357298
salmon,42.73,10.45120256,2.091410322
salmon,55.98,14.28607867,4.824477246
salmon,60.15,15.46311995,6.456769486
salmon,57.52,13.96315322,5.414891672
salmon,56.53,13.39744943,4.857084345
salmon,56.27,13.30917525,4.636942029
salmon,58.53,14.25034783,5.503535752
salmon,53.24,12.40052956,3.600243507
salmon,58.16,14.50822905,5.27041574
salmon,65.78,15.83353042,7.537283797
salmon,64.45,15.49012758,7.427095826
salmon,53.61,12.68071087,4.059354805
salmon,68.16,17.44904492,8.744809899
salmon,75.86,18.55971053,11.72881943
salmon,45.78,11.43488358,2.683562401
salmon,61.93,15.73746611,6.452492097
salmon,58.83,14.4768937,5.568298417
salmon,56.4,14.32479126,5.106784143
salmon,59.05,13.85643915,5.270047444
salmon,60.09,14.8615431,5.820083297
salmon,59.91,15.78188512,6.352560956
salmon,61.06,15.59322292,6.761034683
salmon,47.61,12.09133556,2.912833669
salmon,54.45,13.86183003,4.587504055
salmon,61.34,15.42499875,6.42421939
salmon,65.02,15.37204549,6.891213993
salmon,54.06,14.02437145,4.3435697
salmon,57.42,13.95790385,5.110536045
salmon,67.87,16.62627931,8.534756824
salmon,63.11,15.43418176,6.714325094
salmon,57.17,14.02503298,5.411959868
salmon,54.7,13.54258792,4.233015586
salmon,54,13.36407985,4.225007665
salmon,50.53,12.64831776,3.62033085
salmon,51.61,12.99987897,3.959719209
salmon,66.84,16.79334041,8.107482773
salmon,56.27,13.53130663,4.95724013
salmon,57.43,14.08890418,5.109378657
salmon,59.06,14.6336974,5.51039086
salmon,62.78,15.79526003,6.679392568
salmon,53.63,13.15023708,4.051254746
salmon,55.69,13.95928485,4.470348993
salmon,54.41,13.29821127,4.21862692
salmon,58.34,14.21746888,5.421262391
