"번호","시도","기관명","주소","전화번호","운영주체","법인유형"
"49","서울","생명의전화종합사회복지관","서울특별시 성북구 오패산로 21","02-916-9195","한국생명의전화","사회복지법인(직영)"
"50","서울","서대문종합사회복지관","서울특별시 서대문구 모래내로177","02-375-5040","동방사회복지회","사회복지법인"
"50","서울","서대문종합사회복지관","서울특별시 서대문구 모래내로177","02-375-5041","동방사회복지회","사회복지법인"
"51","서울","서울시립대종합사회복지관","서울특별시 중랑구 신내동 660 신내길 115","02-3421-1988","서울시립대학교","학교법인"
"51","서울","서울시립대종합사회복지관","서울특별시 중랑구 신내동 660 신내길 115","02-3421-1989","서울시립대학교","학교법인"
"52","서울","선의관악종합사회복지관","서울특별시 관악구 양녕로 16길 44-9","02-886-9941","한국선의복지재단","사회복지법인(직영)"
"52","서울","선의관악종합사회복지관","서울특별시 관악구 양녕로 16길 44-9","02-886-9942","한국선의복지재단","사회복지법인(직영)"
"52","서울","선의관악종합사회복지관","서울특별시 관악구 양녕로 16길 44-9","02-886-9943","한국선의복지재단","사회복지법인(직영)"
"53","서울","성내종합사회복지관","서울특별시 강동구 성안로 13길 56","02-478-2555","대한사회복지개발원","사회복지법인"
"53","서울","성내종합사회복지관","서울특별시 강동구 성안로 13길 56","02-478-2556","대한사회복지개발원","사회복지법인"
"53","서울","성내종합사회복지관","서울특별시 강동구 성안로 13길 56","02-478-2557","대한사회복지개발원","사회복지법인"
"54","서울","성동종합사회복지관","서울특별시 성동구 청계천로 506","02-2290-3169","성모성심수도회","재단법인"
"55","서울","성민종합사회복지관","서울특별시 관악구 호암로 549","02-876-0900","경향복지재단","사회복지법인(직영)"
"56","서울","성산종합사회복지관","서울특별시 마포구 월드컵로 215","02-374-5884","이화학당","학교법인"
"56","서울","성산종합사회복지관","서울특별시 마포구 월드컵로 215","02-374-5885","이화학당","학교법인"
"57","서울","성수종합사회복지관","서울특별시 성동구 뚝섬로 1길 43 5층","02-2204-9900","한양학원","학교법인"
"58","서울","송파종합사회복지관","서울특별시 송파구 오금로51길 34","02-401-1919","월드비전","사회복지법인(직영)"
"59","서울","수서명화종합사회복지관","서울특별시 강남구 광평로 51길 49번지","02-459-2696","자선단","사회복지법인"
"59","서울","수서명화종합사회복지관","서울특별시 강남구 광평로 51길 49번지","02-459-2697","자선단","사회복지법인"
"60","서울","수서종합사회복지관","서울특별시 강남구 광평로 56길11","02-459-5504","세이브더칠드런","사회복지법인"
"61","서울","수유종합사회복지관","서울특별시 강북구 삼양로 112길 5","02-903-6940","운가자비원","사회복지법인(직영)"
"62","서울","시립신목종합사회복지관","서울특별시 양천구 신목로 5","02-2643-7222","평화복지재단","사회복지법인"
"62","서울","시립신목종합사회복지관","서울특별시 양천구 신목로 5","02-2643-7223","평화복지재단","사회복지법인"
"63","서울","신길종합사회복지관","서울특별시 영등포구 영등포로84길 24-5","02-831-2755","대한불교조계종사회복지재단","사회복지법인"
"64","서울","신내종합사회복지관","서울특별시 중랑구 봉화산로 153","02-3421-3400","애원복지재단","사회복지법인"
"65","서울","신당종합사회복지관","서울특별시 중구 동호로11길 22","02-2231-1876","서울가톨릭사회복지회","사회복지법인"
"65","서울","신당종합사회복지관","서울특별시 중구 동호로11길 22","02-2231-1877","서울가톨릭사회복지회","사회복지법인"
"65","서울","신당종합사회복지관","서울특별시 중구 동호로11길 22","02-2231-1878","서울가톨릭사회복지회","사회복지법인"
"66","서울","신림종합사회복지관","서울특별시 관악구 난곡로 110","02-851-1767","일송학원(한림대학교)","학교법인"
"66","서울","신림종합사회복지관","서울특별시 관악구 난곡로 110","02-851-1768","일송학원(한림대학교)","학교법인"
"67","서울","신사종합사회복지관","서울특별시 은평구 은평로38","02-376-4141","대한불교조계종사회복지재단","사회복지법인"
"67","서울","신사종합사회복지관","서울특별시 은평구 은평로38","02-376-4142","대한불교조계종사회복지재단","사회복지법인"
"68","서울","신월종합사회복지관","서울시 양천구 신월로 24길 19","02-2605-8728","사회복지법인 한주재단","사회복지법인"
"69","서울","신정종합사회복지관","서울특별시 양천구 신정중앙로 80","02-2603-1792","기아대책","사회복지법인"
"69","서울","신정종합사회복지관","서울특별시 양천구 신정중앙로 80","02-2603-1793","기아대책","사회복지법인"
"70","서울","양재종합사회복지관","서울특별시 서초구 남부순환로 2610","02-579-4783","대한불교조계종봉은","사회복지법인"
"70","서울","양재종합사회복지관","서울특별시 서초구 남부순환로 2610","02-579-4784","대한불교조계종봉은","사회복지법인"
"71","서울","영등포종합사회복지관","서울특별시 영등포구 신길로13길 4","02-845-5331","어린이재단","사회복지법인(직영)"
"72","서울","옥수종합사회복지관","서울특별시 성동구 한림말길 16-5","02-2282-1100","대한불교조계종사회복지재단","사회복지법인"
"73","서울","우면종합사회복지관","서울특별시 서초구 바우뫼로7길 11","02-577-6321","대한불교천태종복지재단","사회복지법인"
"73","서울","우면종합사회복지관","서울특별시 서초구 바우뫼로7길 11","02-577-6322","대한불교천태종복지재단","사회복지법인"
"74","서울","월계종합사회복지관","서울특별시 노원구 초안산로 1길 51","02-999-4211","한국복음주의학원(성서대학교)","학교법인"
"74","서울","월계종합사회복지관","서울특별시 노원구 초안산로 1길 51","02-999-4212","한국복음주의학원(성서대학교)","학교법인"
"74","서울","월계종합사회복지관","서울특별시 노원구 초안산로 1길 51","02-999-4213","한국복음주의학원(성서대학교)","학교법인"
"75","서울","월곡종합사회복지관","서울특별시 성북구 오패산로16길 23","02-911-5511","진각복지재단","사회복지법인"
"76","서울","유락종합사회복지관","서울특별시 중구 퇴계로 460","02-2235-4000","서울가톨릭사회복지회","사회복지법인"
"77","서울","유린원광종합사회복지관","서울특별시 중랑구 신내로 56","02-438-4011","유린보은동산","사회복지법인(직영)"
"78","서울","은평종합사회복지관","서울 은평구 은평터널로 48","02-307-1181","감리회태화복지재단","사회복지법인"
"78","서울","은평종합사회복지관","서울 은평구 은평터널로 48","02-307-1182","감리회태화복지재단","사회복지법인"
"78","서울","은평종합사회복지관","서울 은평구 은평터널로 48","02-307-1183","감리회태화복지재단","사회복지법인"
"79","서울","이대종합사회복지관","서울특별시 서대문구 북아현로 19길 58-21","02-3277-3190","이화학당","학교법인(직영)"
"79","서울","이대종합사회복지관","서울특별시 서대문구 북아현로 19길 58-21","02-3277-3191","이화학당","학교법인(직영)"
"79","서울","이대종합사회복지관","서울특별시 서대문구 북아현로 19길 58-21","02-3277-3192","이화학당","학교법인(직영)"
"79","서울","이대종합사회복지관","서울특별시 서대문구 북아현로 19길 58-21","02-3277-3193","이화학당","학교법인(직영)"
"79","서울","이대종합사회복지관","서울특별시 서대문구 북아현로 19길 58-21","02-3277-3194","이화학당","학교법인(직영)"
"80","서울","자양종합사회복지관","서울특별시 광진구 자양번영로 35","02-458-1664","대한불교조계종사회복지재단","사회복지법인"
"81","서울","잠실종합사회복지관","서울특별시 송파구 올림픽로12길12","02-423-7806","천주교까리따스수녀회","재단법인"
"81","서울","잠실종합사회복지관","서울특별시 송파구 올림픽로12길12","02-423-7807","천주교까리따스수녀회","재단법인"
"82","서울","장안종합사회복지관","서울특별시 동대문구 한천로18길 48","02-2242-7564","감리회태화복지재단","사회복지법인"
"82","서울","장안종합사회복지관","서울특별시 동대문구 한천로18길 48","02-2242-7565","감리회태화복지재단","사회복지법인"
"82","서울","장안종합사회복지관","서울특별시 동대문구 한천로18길 48","02-2242-7566","감리회태화복지재단","사회복지법인"
"83","서울","장위종합사회복지관","서울특별시 성북구 한천로 89길 13","02-918-3073","참나무","사회복지법인(직영)"
"83","서울","장위종합사회복지관","서울특별시 성북구 한천로 89길 13","02-918-3074","참나무","사회복지법인(직영)"
"84","서울","정릉종합사회복지관","서울특별시 성북구 솔샘로 5길 92","02-909-0434","한기장복지재단","사회복지법인"
"84","서울","정릉종합사회복지관","서울특별시 성북구 솔샘로 5길 92","02-909-0435","한기장복지재단","사회복지법인"
"84","서울","정릉종합사회복지관","서울특별시 성북구 솔샘로 5길 92","02-909-0436","한기장복지재단","사회복지법인"
"85","서울","종로종합사회복지관","서울특별시 종로구 지봉로 13길 82","02-766-8282","새문안교회사회복지재단","사회복지법인"
"86","서울","중계종합사회복지관","서울특별시 노원구 덕릉로 662","02-952-0333","한국봉사회","사회복지법인"
"86","서울","중계종합사회복지관","서울특별시 노원구 덕릉로 662","02-952-0334","한국봉사회","사회복지법인"
"86","서울","중계종합사회복지관","서울특별시 노원구 덕릉로 662","02-952-0335","한국봉사회","사회복지법인"
"87","서울","중곡종합사회복지관","서울특별시 광진구 용마산로3길 62","02-3436-4316","예수성심수녀회","재단법인"
"87","서울","중곡종합사회복지관","서울특별시 광진구 용마산로3길 62","02-3436-4317","예수성심수녀회","재단법인"
"88","서울","중림종합사회복지관","서울특별시 중구 서소문로6길 16","02-362-3348","대한불교조계종사회복지재단","사회복지법인"
"89","서울","중앙사회복지관","서울특별시 관악구 봉천로 41길 33","02-872-5802","중앙대학교","학교법인"
"90","서울","창동종합사회복지관","서울특별시 도봉구 덕릉로 329","02-993-3222","여의도순복음연합","사회복지법인"
"91","서울","청담종합사회복지관","서울특별시 금천구 금하로 29길 36,4동","02-806-1376","혜명복지원","사회복지법인(직영)"
"91","서울","청담종합사회복지관","서울특별시 금천구 금하로 29길 36,4동","02-806-1377","혜명복지원","사회복지법인(직영)"
"92","서울","태화기독교사회복지관","서울특별시 강남구 광평로 185","02-2040-1600","감리회태화복지재단","사회복지법인(직영)"
"93","서울","평화종합사회복지관","서울특별시 노원구 노원로 331","02-949-0123","기아대책","사회복지법인"
"93","서울","평화종합사회복지관","서울특별시 노원구 노원로 331","02-949-0124","기아대책","사회복지법인"
"94","서울","풍납종합사회복지관","서울특별시 송파구 강동대로 3길 5","02-474-1201","다산복지재단","사회복지법인"
"94","서울","풍납종합사회복지관","서울특별시 송파구 강동대로 3길 5","02-474-1202","다산복지재단","사회복지법인"
"95","서울","한빛종합사회복지관","서울특별시 양천구 신월로11길 16","02-2690-8762","서울가톨릭사회복지회","사회복지법인"
"95","서울","한빛종합사회복지관","서울특별시 양천구 신월로11길 16","02-2690-8763","서울가톨릭사회복지회","사회복지법인"
"95","서울","한빛종합사회복지관","서울특별시 양천구 신월로11길 16","02-2690-8764","서울가톨릭사회복지회","사회복지법인"
"96","서울","홍은종합사회복지관","서울시 서대문구 세검정로1길 116","02-391-2381","구세군복지재단","사회복지법인"
"96","서울","홍은종합사회복지관","서울시 서대문구 세검정로1길 116","02-391-2382","구세군복지재단","사회복지법인"
"97","서울","화원종합사회복지관","서울특별시 구로구 벚꽃로 484","02-837-0761","한국장로교복지재단","사회복지법인"
"98","서울","효창종합사회복지관","서울특별시 용산구 효창원로 146-12","02-716-0600","기독교한국침례회유지재단","재단법인"
"99","부산","감만종합사회복지관","부산광역시 남구 우암로 84-1","051-634-3415","로사리오 카리타스","사회복지법인"
"100","부산","강서구종합사회복지관","부산광역시 강서구 대저로 63번길 31","051-972-4591","YWCA","사회복지법인"
"100","부산","강서구종합사회복지관","부산광역시 강서구 대저로 63번길 31","051-972-4592","YWCA","사회복지법인"
"101","부산","개금종합사회복지관","부산광역시 부산진구 백양관문로77번길 140","051-893-5034","불국토","사회복지법인"
"102","부산","거제종합사회복지관","부산광역시 연제구 아시아드대로 46번길 45","051-507-8171","학교법인 화신학원","학교법인"
"102","부산","거제종합사회복지관","부산광역시 연제구 아시아드대로 46번길 45","051-507-8172","학교법인 화신학원","학교법인"
"102","부산","거제종합사회복지관","부산광역시 연제구 아시아드대로 46번길 45","051-507-8173","학교법인 화신학원","학교법인"
"102","부산","거제종합사회복지관","부산광역시 연제구 아시아드대로 46번길 45","051-507-8174","학교법인 화신학원","학교법인"
"103","부산","공창종합사회복지관","부산광역시 북구 효열로 268","051-363-2063","공덕향","사회복지법인"
"103","부산","공창종합사회복지관","부산광역시 북구 효열로 268","051-363-2064","공덕향","사회복지법인"
"103","부산","공창종합사회복지관","부산광역시 북구 효열로 268","051-363-2065","공덕향","사회복지법인"
"103","부산","공창종합사회복지관","부산광역시 북구 효열로 268","051-363-2066","공덕향","사회복지법인"
"104","부산","구평종합사회복지관","부산광역시 사하구 을숙도대로 744","051-263-3045","다가세","사단법인"
"104","부산","구평종합사회복지관","부산광역시 사하구 을숙도대로 744","051-263-3046","다가세","사단법인"
"105","부산","금곡종합사회복지관","부산광역시 북구 효열로 144","051-365-2211","자연수복지재단","사회복지법인(직영)"
"106","부산","금정구종합사회복지관","부산광역시 금정구 반송로 490번길 47","051-532-0115","사회복지법인 범어","사회복지법인"
"106","부산","금정구종합사회복지관","부산광역시 금정구 반송로 490번길 47","051-532-0116","사회복지법인 범어","사회복지법인"
"106","부산","금정구종합사회복지관","부산광역시 금정구 반송로 490번길 47","051-532-0117","사회복지법인 범어","사회복지법인"
"106","부산","금정구종합사회복지관","부산광역시 금정구 반송로 490번길 47","051-532-0118","사회복지법인 범어","사회복지법인"
"107","부산","기장종합사회복지관","부산광역시 기장군 기장읍 차성로206","051-723-0415","부산광역시 기장군도시관리공단","기타(공단)"
"108","부산","낙동종합사회복지관","부산광역시 강서구 순아강변길 5","051-271-0560","진각복지회","사회복지법인"
"108","부산","낙동종합사회복지관","부산광역시 강서구 순아강변길 5","051-271-0561","진각복지회","사회복지법인"
"109","부산","남광종합사회복지관","부산광역시 금정구 중앙대로 2349번길 3","051-508-1997","남광사회복지회","사회복지법인(직영)"
"110","부산","남구종합사회복지관","부산광역시 남구 동제당로 258","051-647-3655","한성학원(경성대학교)","학교법인"
"110","부산","남구종합사회복지관","부산광역시 남구 동제당로 258","051-647-3656","한성학원(경성대학교)","학교법인"
"111","부산","남산정종합사회복지관","부산광역시 북구 만덕대로 155번길 86-9호","051-342-8206","청록복지재단","사회복지법인"
"111","부산","남산정종합사회복지관","부산광역시 북구 만덕대로 155번길 86-9호","051-342-8207","청록복지재단","사회복지법인"
"112","부산","다대종합사회복지관","부산광역시 사하구 다대로 440","051-264-5420","행복한오늘","사회복지법인"
"112","부산","다대종합사회복지관","부산광역시 사하구 다대로 440","051-264-5421","행복한오늘","사회복지법인"
"113","부산","당감종합사회복지관","부산광역시 부산진구 당감서로16","051-896-2320","로사리오 카리타스","사회복지법인"
"113","부산","당감종합사회복지관","부산광역시 부산진구 당감서로16","051-896-2321","로사리오 카리타스","사회복지법인"
"114","부산","덕천종합사회복지관","부산광역시 북구 덕천로74","051-331-4674","삼동회","사회복지법인"
"114","부산","덕천종합사회복지관","부산광역시 북구 덕천로74","051-331-4675","삼동회","사회복지법인"
