위치,측정일시,측정주기,평균값,최소값,최대값
오포읍,2018-01-02 20:10,M,-80,-80,-80
오포읍,2018-01-02 20:20,M,-80,-80,-80
오포읍,2018-01-02 20:30,M,-70,-70,-70
오포읍,2018-01-02 20:40,M,-80,-80,-80
오포읍,2018-01-02 20:50,M,-110,-110,-110
오포읍,2018-01-02 21:00,M,-140,-140,-140
오포읍,2018-01-02 21:00,H,-120,-120,-120
오포읍,2018-01-02 21:10,M,-120,-120,-120
오포읍,2018-01-02 21:20,M,-140,-140,-140
오포읍,2018-01-02 21:30,M,-140,-140,-140
오포읍,2018-01-02 21:40,M,-150,-150,-150
오포읍,2018-01-02 21:50,M,-150,-150,-150
오포읍,2018-01-02 22:00,M,-160,-160,-160
오포읍,2018-01-02 22:00,H,-150,-150,-150
오포읍,2018-01-02 22:10,M,-150,-150,-150
오포읍,2018-01-02 22:20,M,-170,-170,-170
오포읍,2018-01-02 22:30,M,-190,-190,-190
오포읍,2018-01-02 22:40,M,-190,-190,-190
오포읍,2018-01-02 22:50,M,-200,-200,-200
오포읍,2018-01-02 23:00,M,-220,-220,-220
오포읍,2018-01-02 23:00,H,-210,-210,-210
오포읍,2018-01-02 23:10,M,-240,-240,-240
오포읍,2018-01-02 23:20,M,-250,-250,-250
오포읍,2018-01-02 23:30,M,-260,-260,-260
오포읍,2018-01-02 23:40,M,-270,-270,-270
오포읍,2018-01-02 23:50,M,-300,-300,-300
오포읍,2018-01-03 0:00,M,-300,-300,-300
오포읍,2018-01-03 0:00,H,-300,-300,-300
오포읍,2018-01-03 0:00,D,-482,-520,-450
오포읍,2018-01-03 0:10,M,-310,-310,-310
오포읍,2018-01-03 0:20,M,-310,-310,-310
오포읍,2018-01-03 0:30,M,-330,-330,-330
오포읍,2018-01-03 0:40,M,-350,-350,-350
오포읍,2018-01-03 0:50,M,-350,-350,-350
오포읍,2018-01-03 1:00,M,-390,-390,-390
오포읍,2018-01-03 1:00,H,-360,-360,-360
오포읍,2018-01-03 1:10,M,-390,-390,-390
오포읍,2018-01-03 1:20,M,-390,-390,-390
오포읍,2018-01-03 1:30,M,-400,-400,-400
오포읍,2018-01-03 1:40,M,-430,-430,-430
오포읍,2018-01-03 1:50,M,-410,-410,-410
오포읍,2018-01-03 2:00,M,-470,-470,-470
오포읍,2018-01-03 2:00,H,-450,-450,-450
오포읍,2018-01-03 2:10,M,-500,-500,-500
오포읍,2018-01-03 2:20,M,-500,-500,-500
오포읍,2018-01-03 2:30,M,-510,-510,-510
오포읍,2018-01-03 2:40,M,-560,-560,-560
오포읍,2018-01-03 2:50,M,-550,-550,-550
오포읍,2018-01-03 3:00,M,-530,-530,-530
오포읍,2018-01-03 3:00,H,-550,-550,-550
오포읍,2018-01-03 3:10,M,-530,-530,-530
오포읍,2018-01-03 3:20,M,-510,-510,-510
오포읍,2018-01-03 3:30,M,-510,-510,-510
오포읍,2018-01-03 3:40,M,-550,-550,-550
오포읍,2018-01-03 3:50,M,-560,-560,-560
오포읍,2018-01-03 4:00,M,-560,-560,-560
오포읍,2018-01-03 4:00,H,-560,-560,-560
오포읍,2018-01-03 4:10,M,-600,-600,-600
오포읍,2018-01-03 4:20,M,-610,-610,-610
오포읍,2018-01-03 4:30,M,-610,-610,-610
오포읍,2018-01-03 4:40,M,-620,-620,-620
오포읍,2018-01-03 4:50,M,-630,-630,-630
오포읍,2018-01-03 5:00,M,-640,-640,-640
오포읍,2018-01-03 5:00,H,-630,-630,-630
오포읍,2018-01-03 5:10,M,-650,-650,-650
오포읍,2018-01-03 5:20,M,-660,-660,-660
오포읍,2018-01-03 5:30,M,-660,-660,-660
오포읍,2018-01-03 5:40,M,-700,-700,-700
오포읍,2018-01-03 5:50,M,-710,-710,-710
오포읍,2018-01-03 6:00,M,-720,-720,-720
오포읍,2018-01-03 6:00,H,-710,-710,-710
오포읍,2018-01-03 6:10,M,-730,-730,-730
오포읍,2018-01-03 6:20,M,-760,-760,-760
오포읍,2018-01-03 6:30,M,-760,-760,-760
오포읍,2018-01-03 6:40,M,-780,-780,-780
오포읍,2018-01-03 6:50,M,-780,-780,-780
오포읍,2018-01-03 7:00,M,-800,-800,-800
오포읍,2018-01-03 7:00,H,-780,-780,-780
오포읍,2018-01-03 7:10,M,-800,-800,-800
오포읍,2018-01-03 7:20,M,-810,-810,-810
오포읍,2018-01-03 7:30,M,-830,-830,-830
오포읍,2018-01-03 7:40,M,-830,-830,-830
오포읍,2018-01-03 7:50,M,-830,-830,-830
오포읍,2018-01-03 8:00,M,-830,-830,-830
오포읍,2018-01-03 8:00,H,-830,-830,-830
오포읍,2018-01-03 8:10,M,-810,-810,-810
오포읍,2018-01-03 8:20,M,-780,-780,-780
오포읍,2018-01-03 8:30,M,-750,-750,-750
오포읍,2018-01-03 8:40,M,-730,-730,-730
오포읍,2018-01-03 8:50,M,-630,-630,-630
오포읍,2018-01-03 9:00,M,-610,-610,-610
오포읍,2018-01-03 9:00,H,-630,-630,-630
오포읍,2018-01-03 9:10,M,-470,-470,-470
오포읍,2018-01-03 9:20,M,-430,-430,-430
오포읍,2018-01-03 9:30,M,-420,-420,-420
오포읍,2018-01-03 9:40,M,-390,-390,-390
오포읍,2018-01-03 9:50,M,-330,-330,-330
오포읍,2018-01-03 10:00,M,-320,-320,-320
오포읍,2018-01-03 10:00,H,-350,-350,-350
오포읍,2018-01-03 10:10,M,-330,-330,-330
오포읍,2018-01-03 10:20,M,-300,-300,-300
오포읍,2018-01-03 10:30,M,-240,-240,-240
오포읍,2018-01-03 10:40,M,-260,-260,-260
오포읍,2018-01-03 10:50,M,-260,-260,-260
오포읍,2018-01-03 11:00,M,-250,-250,-250
오포읍,2018-01-03 11:00,H,-250,-250,-250
오포읍,2018-01-03 11:10,M,-210,-210,-210
오포읍,2018-01-03 11:20,M,-160,-160,-160
오포읍,2018-01-03 11:30,M,-180,-180,-180
오포읍,2018-01-03 11:40,M,-210,-210,-210
오포읍,2018-01-03 11:50,M,-150,-150,-150
오포읍,2018-01-03 12:00,M,-110,-110,-110
오포읍,2018-01-03 12:00,H,-170,-170,-170
오포읍,2018-01-03 12:10,M,-130,-130,-130
오포읍,2018-01-03 12:20,M,-100,-100,-100
오포읍,2018-01-03 12:30,M,-120,-120,-120
오포읍,2018-01-03 12:40,M,-90,-90,-90
오포읍,2018-01-03 12:50,M,-60,-60,-60
오포읍,2018-01-03 13:00,M,-80,-80,-80
오포읍,2018-01-03 13:00,H,-70,-70,-70
오포읍,2018-01-03 13:10,M,-30,-30,-30
오포읍,2018-01-03 13:20,M,-10,-10,-10
오포읍,2018-01-03 13:30,M,-10,-10,-10
오포읍,2018-01-03 13:40,M,10,10,10
오포읍,2018-01-03 13:50,M,30,30,30
오포읍,2018-01-03 14:00,M,0,0,0
오포읍,2018-01-03 14:00,H,20,20,20
오포읍,2018-01-03 14:10,M,-20,-20,-20
오포읍,2018-01-03 14:20,M,0,0,0
오포읍,2018-01-03 14:30,M,0,0,0
오포읍,2018-01-03 14:40,M,0,0,0
오포읍,2018-01-03 14:50,M,0,0,0
오포읍,2018-01-03 15:00,M,-10,-10,-10
오포읍,2018-01-03 15:00,H,0,0,0
오포읍,2018-01-03 15:10,M,20,20,20
오포읍,2018-01-03 15:20,M,0,0,0
오포읍,2018-01-03 15:30,M,-10,-10,-10
오포읍,2018-01-03 15:40,M,-10,-10,-10
오포읍,2018-01-03 15:50,M,-50,-50,-50
오포읍,2018-01-03 16:00,M,-50,-50,-50
오포읍,2018-01-03 16:00,H,-60,-60,-60
오포읍,2018-01-03 16:10,M,-60,-60,-60
오포읍,2018-01-03 16:20,M,-80,-80,-80
오포읍,2018-01-03 16:30,M,-110,-110,-110
오포읍,2018-01-03 16:40,M,-120,-120,-120
오포읍,2018-01-03 16:50,M,-140,-140,-140
오포읍,2018-01-03 17:00,M,-140,-140,-140
오포읍,2018-01-03 17:00,H,-140,-140,-140
오포읍,2018-01-03 17:10,M,-170,-170,-170
오포읍,2018-01-03 17:20,M,-190,-190,-190
오포읍,2018-01-03 17:30,M,-190,-190,-190
오포읍,2018-01-03 17:40,M,-200,-200,-200
오포읍,2018-01-03 17:50,M,-220,-220,-220
오포읍,2018-01-03 18:00,M,-220,-220,-220
오포읍,2018-01-03 18:00,H,-220,-220,-220
오포읍,2018-01-03 18:10,M,-240,-240,-240
오포읍,2018-01-03 18:20,M,-250,-250,-250
오포읍,2018-01-03 18:30,M,-250,-250,-250
오포읍,2018-01-03 18:40,M,-240,-240,-240
오포읍,2018-01-03 18:50,M,-260,-260,-260
오포읍,2018-01-03 19:00,M,-250,-250,-250
오포읍,2018-01-03 19:00,H,-280,-280,-280
오포읍,2018-01-03 19:10,M,-270,-270,-270
오포읍,2018-01-03 19:20,M,-310,-310,-310
오포읍,2018-01-03 19:30,M,-380,-380,-380
오포읍,2018-01-03 19:40,M,-400,-400,-400
오포읍,2018-01-03 19:50,M,-400,-400,-400
오포읍,2018-01-03 20:00,M,-370,-370,-370
오포읍,2018-01-03 20:00,H,-380,-380,-380
오포읍,2018-01-03 20:10,M,-410,-410,-410
오포읍,2018-01-03 20:20,M,-450,-450,-450
오포읍,2018-01-03 20:30,M,-470,-470,-470
오포읍,2018-01-03 20:40,M,-470,-470,-470
오포읍,2018-01-03 20:50,M,-510,-510,-510
오포읍,2018-01-03 21:00,M,-500,-500,-500
오포읍,2018-01-03 21:00,H,-510,-510,-510
오포읍,2018-01-03 21:10,M,-490,-490,-490
오포읍,2018-01-03 21:20,M,-510,-510,-510
오포읍,2018-01-03 21:30,M,-490,-490,-490
오포읍,2018-01-03 21:40,M,-460,-460,-460
오포읍,2018-01-03 21:50,M,-440,-440,-440
오포읍,2018-01-03 22:00,M,-460,-460,-460
오포읍,2018-01-03 22:00,H,-410,-410,-410
오포읍,2018-01-03 22:10,M,-460,-460,-460
오포읍,2018-01-03 22:20,M,-460,-460,-460
